Дата,Тип работ,Автомобиль,Кто выполнил работу,Услуги,Цена,Оплата,Примечание,,,,,,
09.01.2026,Электрика,логан,Савва,замена мотора отопителя,4500,,,,,,,,
12.01.2026,Электрика,элантра,Виталик,работа с элекрикой ,3000,3000,,,,,,,
12.01.2026,Электрика,антара,Виталик,Работа с подогревом,500,3000,,,,,,,
12.01.2026,Электрика,антара,Савва,Работа с регистраторм,500,,,,,,,,
12.01.2026,Электрика,антара,Савва,Работа с тумкой,500,,,,,,,,
12.01.2026,Электрика,антара,Виталик,Дворник + омыватель,500,,,,,,,,
12.01.2026,Электрика,антара,Виталик,Датчики,500,,,,,,,,
12.01.2026,Электрика,антара,Виталик,Работа с сигой ,500,,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,сига ,8000,12600,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,магнитоа,800,,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,мойка,500,,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,бампер с/у,1500,,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,гудок ,800,,,,,,,,
13.01.2026,Электрика,Опель астра,Виталик,регистратор к сиге,1500,,,,,,,,
14.01.2026,Электрика,туксон,Виталик,установка сиги,8000,16000,,,,,,,
14.01.2026,Электрика,туксон,Виталик,установка контурной подсветки ,8000,,,,,,,,
14.01.2026,Электрика,туксон,Виталик,тех мойка,500,,,,,,,,
15.01.2026,Мойка,калина,Богдан,двух фаз,1000,1500,,,,,,,
15.01.2026,Мойка,калина,Богдан,влажка ,500,,,,,,,,
15.01.2026,Мойка,субару,Богдан,трехфаз,1500,1000,,,,,,,
15.01.2026,Мойка,ауди,Богдан,трехфаз,2000,2000,,,,,,,
15.01.2026,Мойка,Веста ,Богдан,комплекс базовый,3000,3000,,,,,,,
15.01.2026,Электрика,лачетти,Виталик,работа с электрикой ,3000,3000,,,,,,,
15.01.2026,Электрика,соренто,Виталик,с/у перед бампер,1500,4500,,,,,,,
15.01.2026,Электрика,соренто,Савва,с/у зад бампер,1500,,,,,,,,
15.01.2026,Электрика,соренто,Виталик,ремонт проводки ,1000,,,,,,,,
15.01.2026,Электрика,соренто,Виталик,диагностика,500,,,,,,,,
15.01.2026,Мойка,аутлендер,Савва,3ф,1700,1200,,,,,,,
15.01.2026,Электрика,марк,Савва,востановение орды,15000,15000,,,,,,,
15.01.2026,Электрика,лексус рх,Виталик,пред на пневму,300,300,,,,,,,
15.01.2026,Электрика,аутлендер,Виталик,ремонт цепи стартера,3000,3000,,,,,,,
19.01.2026,Электрика,туарег,Виталик,Установка сигнализации,9000,9000,,,,,,,
19.01.2026,Мойка,лансер 10,Савва,техмойка,500,2800,,,,,,,
19.01.2026,Электрика,лансер 10,Савва,с\у бампера,1500,,,,,,,,
19.01.2026,Электрика,лансер 10,Савва,замена блока подсветки,800,,,,,,,,
19.01.2026,Мойка,ларус,Савва,техмойка ,500,1500,,,,,,,
19.01.2026,Электрика,ларус,Виталик,востановление работы кнопкии С/С,1000,,,,,,,,
19.01.2026,Электрика,рапид,Виталик,сига автозапуск,1000,1000,,,,,,,
19.01.2026,Электрика,паджеро,Виталик,разьем обд,200,200,,,,,,,
20.01.2026,Мойка,rx330,Богдан,комплекс базовый,3000,21200,,,,,,,
20.01.2026,Электрика,rx330,Виталик,замена салазок люка,6000,,,,,,,,
20.01.2026,Электрика,rx330,Виталик,снятие потолка,9000,,,,,,,,
20.01.2026,Продажа,rx331,Виталик,клипсы,700,,,,,,,,
20.01.2026,Продажа,rx332,Виталик,очиститель,500,,,,,,,,
20.01.2026,Электрика,rx333,Виталик,омыватель,2000,,,,,,,,
20.01.2026,Мойка,танспортер,Богдан,1ф,700,700,,,,,,,
20.01.2026,Электрика,октавия а5фл,Виталик,реистраор,1200,1200,,,,,,,
20.01.2026,Электрика,аккорд 6,Виталик,электрика,7800,7800,,,,,,,
20.01.2026,Мойка,xtrail,Богдан,3ф,1700,1700,,,,,,,
20.01.2026,Электрика,xtrail,Виталик,лампы в птф,500,500,,,,,,,
21.01.2026,Электрика,гранта,Виталик,гранта дианостика камеры,500,1300,,,,,,,
23.01.2026,Электрика,гранта,Виталик,,800,,,,,,,,
21.01.2026,Электрика,антара,Виталик,замена ламп(б+г),600,2800,,,,,,,
,Электрика,антара,Савва,замена ламп(д),500,,,,,,,,
21.01.2026,Электрика,антара,Виталик,регистротор,100,,,,,,,,
21.01.2026,Электрика,антара,Виталик,диагностика зеркала + замена,800,,,,,,,,
21.01.2026,Электрика,антара,Виталик,лампы в птф,600,,,,,,,,
21.01.2026,Электрика,антара,Виталик,дмрв,200,,,,,,,,
21.01.2026,Мойка,сивиик,Богдан,комплекс базовый,3000,4000,,,,,,,
21.01.2026,Мойка,сивиик,Богдан,антидождь,3000,,,,,,,,
21.01.2026,Мойка,хаммер,Виталик,техмойка,500,500,,,,,,,
22.01.2026,Мойка,гранта,Виталик,техмойка,300,4500,,,,,,,
22.01.2026,Электрика,гранта,Виталик,установка манитоллы,2000,,,,,,,,
22.01.2026,Электрика,гранта,Виталик,установка камеры,3000,,,,,,,,
22.01.2026,Мойка,мерседес,Виталик,техмойка,500,2500,,,,,,,
22.01.2026,Электрика,мерседес,Виталик,заменна ламп,1000,,,,,,,,
22.01.2026,Электрика,мерседес,Виталик,ремонт электрик,1000,,,,,,,,
22.01.2026,Мойка,лавр,Виталик,3ф,1500,1000,,,,,,,
22.01.2026,Мойка,калина,Богдан,2ф,1000,1500,,,,,,,
22.01.2026,Мойка,калина,Богдан,стекла,500,,,,,,,,
22.01.2026,Мойка,ауди,Богдан,комплекс базовый,3000,4500,,,,,,,
22.01.2026,Мойка,ауди,Богдан,пропитка сиидений,1500,,,,,,,,
22.01.2026,Мойка,креста,Богдан,3ф,1500,1500,,,,,,,
22.01.2026,Мойка,дискавери,Виталик,самомой,600,600,,,,,,,
23.01.2026,Мойка,веста ,Богдан,комплекс базовый,3000,3000,,,,,,,
23.01.2026,Мойка,поло,Савва,техойка,500,10400,,,,,,,
23.01.2026,Электрика,,Савва,заммена подушки пассажира,1500,,,,,,,,
23.01.2026,Электрика,,Савва,с/у фар,300,,,,,,,,
23.01.2026,Электрика,,Савва,замена площадки под АКБ,500,,,,,,,,
23.01.2026,Электрика,,Савва,замена разьема датчика давления масла,300,,,,,,,,
23.01.2026,Электрика,,Савва,замена воздушных парубков,300,,,,,,,,
23.01.2026,Электрика,,Савва,Установка птф,3000,,,,,,,,
23.01.2026,Электрика,,Виталик,заена подушки водителя ,500,,,,,,,,
23.01.2026,Электрика,,Савва,влажка пылесос стекла,1500,,,,,,,,
23.01.2026,Электрика,,Виталик,осмотр проводки с попутным ремонтом,1600,,,,,,,,
23.01.2026,Продажа,,Виталик,расходники,400,,,,,,,,
23.01.2026,Мойка,х треил,Савва,тех мойка,500,2000,,,,,,,
23.01.2026,Мойка,,Савва,влажка ,500,,,,,,,,
23.01.2026,Мойка,,Савва,пылесос ,500,,,,,,,,
23.01.2026,Мойка,,Савва,стекла,500,,,,,,,,
24.01.2026,Электрика,мерседес,Виталик,ддиагностика замка багажника,3000,3000,,,,,,,
25.01.2026,Мойка,крета,Савва,3ф,1500,1100,,,,,,,
26.01.2026,Электрика,окавия а7,Виталик,деонтаж сиги,1200,1200,,,,,,,
27.01.2026,Электрика,октаия а4,Виталик,устаовка сиги,25100,25100,,,,,,,
28.01.2026,Мойка,траеспортер,Савва,3ф,2000,3000,,,,,,,
,Мойка,,Савва,влажка,500,,,,,,,,
,Мойка,,Савва,пылесос,500,,,,,,,,
28.01.2026,Электрика,сеат,Виталик,s96 eco,19450,29250,,,,,,,
,Электрика,,Виталик,установка сигнализации,8000,,,,,,,,
,Мойка,,Виталик,тех мойка,300,,,,,,,,
,Электрика,,Виталик,обходчик,1000,,,,,,,,
,Электрика,,Виталик,демонтаж сигнализации,500,,,,,,,,
28.01.2026,Электрика,логан,Виталик,установка регистатора,1000,1000,,,,,,,
28.01.2026,Мойка,лексус,Савва,техмойка,500,500,,,,,,,
28.01.2026,Мойка,форд,Савва,техмойка,500,2000,,,,,,,
,Электрика,форд,Виталик,диагностика и поиск обрыва,1500,,,,,,,,
28.01.2026,Мойка,хендай,Богдан,химчистка,17000,19500,5000+15000,,,,,,
,Электрика,,Савва,диагностика абс,500,,,,,,,,
,Мойка,,Виталик,шашка,2000,,,,,,,,
28.01.2026,Мойка,татет,Богдан,полировка царапины,1000,1000,,,,,,,
29.01.2026,Электрика,гранта,Виталик,диагнсоиика ии замена модульяя зажигани ,3000,3000,,,,,,,
29.01.2026,Электрика,саша бус,Виталик,ремонт плюса,1000,1000,,,,,,,
29.01.2026,Электрика,омода,Виталик,замена рамки номера,600,600,,,,,,,
29.01.2026,Мойка,гранта,Виталик,техмойка,300,19850,,,,,,,
30.01.2026,Продажа,,Виталик,сига,8800,,,,,,,,
,Продажа,,Виталик,реле + колодка 1шт,300,,,,,,,,
,Продажа,,Виталик,концевики 3 шт,450,,,,,,,,
,Электрика,,Виталик,установка сиги,8000,,,,,,,,
,Электрика,,Виталик,демонтаж старой,500,,,,,,,,
,Электрика,,Савва,ремонт цз и концевиков,1500,,,,,,,,
30.01.2026,Мойка,поло,Савва,техмойка,500,28500,,,,,,,
,Электрика,,Виталик,установка сиги,7350,,,,,,,,
,Продажа,,Виталик,сига,20650,,,,,,,,
31.01.2026,Электрика,фокус,Виталик,ремонт электрики,700,700,,,,,,,
31.01.2026,Мойка,солярис,Савва,техмойка,500,2450,,,,,,,
,Электрика,,Савва,замена ламп,500,,,,,,,,
,Электрика,,Савва,диагностика абс  +  подгибание контаокв,800,,,,,,,,
,Продажа,,Виталик,лампы в птф + стоп,650,,,,,,,,
31.01.2026,Электрика,хавал джулион,Савва,техмойка,500,8500,,,,,,,
,Электрика,,Виталик,установка сиги,8000,,,,,,,,
31.01.2026,Электрика,дискавери,Савва,подключение птф,1500,3200,,,,,,,
,Продажа,,Виталик,расходники,1100,,,,,,,,
,Продажа,,Виталик,реле + колодка 2шт,600,,,,,,,,
02.02.2026,Электрика,транспортер,Виталик,ремонт электрики,3000,3000,,,,,,,
03.02.2026,Мойка,ауди,Богдан,3ф,1500,1500,,,,,,,
03.02.2026,Мойка,VW Taos,Богдан,2ф,1200,2200,савва + богдан,На расчетый счет,,,,,
,Мойка,,Богдан,влажка,500,,,,,,,,
,Мойка,,Богдан,пылесос,500,,,,,,,,
03.02.2026,Электрика,соренто,Савва,диагностика ,500,500,,,,,,,
03.02.2026,Мойка,мазда 3,Богдан,комплекс базовый,3000,3000,савва + богдан,,,,,,
03.02.2026,Электрика,ягуар,Виталик,чистка замка копота,1000,1000,,,,,,,
04.02.2026,Электрика,мерседес,Виталик,снтие маяка,2000,2000,,,,,,,
04.02.2026,Электрика,солярис,Виталик,ремонт камера заднего хода,800,800,,,,,,,
04.02.2026,Мойка,октавия,Богдан,3ф,1500,2500,,,,,,,
,Мойка,,Богдан,влажка,500,,,,,,,,
,Мойка,,Богдан,пылесос,500,,,,,,,,
04.02.2026,Электрика,х треил,Виталик,замена ламп ближнего,300,300,,,,,,,
04.02.2026,Мойка,бмв,Богдан,3ф,1500,1500,,,,,,,
04.02.2026,Мойка,2114,Богдан,комплекс базовый,3000,-----,,,,,,,
05.02.2026,Электрика,ховер,Виталик,ремонт разьема,500,500,,,,,,,
07.02.2026,Мойка,форд,Виталик,техмойка,300,3500,,,,,,,
,Электрика,,Виталик,ремонт дворнкиво,1200,,,,,,,,
,Электрика,,Савва,ремонт стеклоподьемников,2000,,",+1500",,,,,,
,Мойка,,Савва,озонатор,0,,,,,,,,
07.02.2026,Мойка,транспортер,Богдан,1ф,700,7700,,,,,,,
,Мойка,,Богдан,уборка,500,,,,,,,,
,Электрика,,Виталик,ремонт стрекозы,4000,,,,,,,,
,Электрика,,Виталик,ремонт парктроника,2500,,,,,,,,
08.02.2026,Электрика,ситроен,Виталик,ремонт плюса,600,600,,,,,,,
09.02.2026,Электрика,камри 70,Виталик,диагностика,300,300,,,,,,,
09.02.2026,Электрика,ларус,Виталик,диагностика + ремонт,4000,4000,,,,,,,
09.02.2026,Электрика,епика,Виталик,установка камеры,3000,5000,,,,,,,
,Электрика,,Виталик,подлкючение руля,1500,,,,,,,,
,Мойка,,Виталик,тех мойка,500,,,,,,,,
,Электрика,,Виталик,мелочи в процессе,0,,,,,,,,
09.02.2026,Мойка,ягуар,Богдан,техмойка,500,8500,,,,,,,
,Электрика,,Виталик,вскрыте копота,3000,,,,,,,,
,Электрика,,Виталик,замена тросика копота,3000,,,,,,,,
,Электрика,,Виталик,с\у бампера,2000,,,,,,,,
10.02.2026,Электрика,цивик,Виталик,замена клемы акб,1000,1000,,,,,,,
10.02.2026,Мойка,буханка,Богдан,техмойка,800,3200,,,,,,,
,Электрика,,Виталик,ремонт габаритов,500,,,,,,,,
,Электрика,,Виталик,диагностика сухого фена ,700,,,,,,,,
,Электрика,,Виталик,диагностика задней балки,500,,,,,,,,
,Электрика,,Виталик,работа с поворотником,700,,,,,,,,
10.02.2026,Мойка,финик,Богдан,2ф,1200,1200,,,,,,,
11.02.2026,Электрика,веста,Савва,установка птф,3000,4000,,,,,,,
,Электрика,,Савва,установака гудка,1000,,,,,,,,
11.02.2026,Мойка,марк,Богдан,техмойка,500,1500,,,,,,,
,Мойка,,Виталик,диагностика,1000,,,,,,,,
11.02.2026,Электрика,ситроен,Виталик,закрепить птф,2000,2000,,,,,,,
12.02.2026,Мойка,королла,Богдан,3ф,1500,900,,,,,,,
12.02.2026,Мойка,шевроле(витара),Богдан,техмойка,500,1700,,,,,,,
,Продажа,,Виталик,лампы,200,,,,,,,,
,Электрика,,Савва,замена ламп + обрыв,500,,,,,,,,
,Электрика,,Виталик,диагностика электрики,500,,,,,,,,
12.02.2026,Электрика,приора,Виталик,диагностика,1100,1100,,,,,,,
12.02.2026,Мойка,аурис,Богдан,техмойка,500,2000,,,,,,,
,Электрика,,Савва,диагнсотика подстаканников,1000,,,,,,,,
,,,Виталик,диагностика цз,500,,,,,,,,
13.02.2026,Мойка,ларгс,Виталик,техмойка,500,2700,,,,,,,
,Электрика,,Виталик,работа с сигнализацией,1500,,,,,,,,
,,,Виталик,чистка разьема туманок,500,,,,,,,,
,,,Виталик,закрепить локер,200,,,,,,,,
13.02.2026,Электрика,црв,Виталик,рзобратьсяя с камерой,2500,3500,,,,,,,
,Мойка,,Виталик,тех мойка,500,,,,,,,,
,Электрика,,Виталик,подлкбчить мультируль,500,,,,,,,,
13.02.2026,Мойка,гранд витара,Виталик,техмойка,300,3800,,,,,,,
,Электрика,,Виталик,диагностика автозапуска,500,,,,,,,,
,Электрика,,Виталик,прроверка косы возле акб,1500,,,,,,,,
,Электрика,,Виталик,проверка блока полного привода,1000,,,,,,,,
,Электрика,,Виталик,работа с ручками,500,,,,,,,,
15.02.2026,Мойка,сх5,Богдан,2ф,1200,1200,,,,,,,
15.02.2026,Мойка,опель,Богдан,2ф,800,5400,,,,,,,
,Мойка,,Савва,пылесос+влажка,1000,,,,,,,,
,Электрика,,Виталик,диагностика вентелтора,1000,,,,,,,,
,Продажа,,Виталик,бенз,500,,,,,,,,
,Электрика,,Виталик,пайка бочка ож,600,,,,,,,,
,Электрика,,Виталик,подключение вентелтоа через кноку,1500,,,,,,,,
15.02.2026,Мойка,рио4,Богдан,3ф,1500,2000,,,,,,,
,Мойка,,Богдан,влажка пылесос ,1000,,,,,,,,
15.02.2026,Мойка,дискавери,Богдан,2ф,1200,1200,,....+250 богдан,,,,,
16.02.2026,Мойка,сид,Савва,техмойка,500,3500,,,,,,,
,Электрика,,Виталик,установка регистратора + камера,3000,,савва помогал(25%),,,,,,
16.02.2026,Мойка,дастер,Савва,техмойка,500,2000,,,,,,,
,Мойка,,Савва,пылесос,500,,,,,,,,
,Мойка,,Савва,стекла,500,,,,,,,,
,Мойка,,Савва,влажка,500,,,,,,,,
17.02.2026,Электрика,2114,Виталик,дигностика ремонт,1700,1700,,,,,,,
"17,02,2026",Мойка,транспортер,Виталик,техмойка,500,2000,,,,,,,
,Электрика,,Савва,замена датчика + разьем,1500,,,,,,,,
17.02.2026,Мойка,аутлендер,Савва,техмойка,500,1500,,,,,,,
,Электрика,,Виталик,диагностика первичная,500,,,,,,,,
,Электрика,,Виталик,замена датчика + разьем,500,,,,,,,,
18.02.2026,Продажа,рио,Виталик,"расходники (гофра, провода, изолента, термоусадка, реле+разем, колодка под пред)",1200,6800,,,,,,,
,Электрика,,Виталик,установка птф,3000,,савва помогал,,,,,,
,Электрика,,Виталик,диагностика руля,500,,,,,,,,
,Электрика,,Савва,проводка гудка,1200,,,,,,,,
,Мойка,,Савва,техмойка,500,,,,,,,,
,Электрика,,Савва,с\у бампера,250,,,,,,,,
,Продажа,,Виталик,батарейки,150,,,,,,,,
18.02.2026,Мойка,ларгус,Богдан,2ф,1000,4000,,,,,,,
,Мойка,,Богдан,стекла,500,,,,,,,,
,Мойка,,Богдан,химка сидений (2шт),2500,,,,,,,,
,Мойка,,Богдан,озонатор,0,,,,,,,,
18.02.2026,Мойка,таос,Савва,3ф,1700,2700,,,,,,,
,Мойка,,Савва,влажка,500,,,,,,,,
,Мойка,,Савва,пылесос,500,,,,,,,,
19.02.2026,Мойка,ягуар,Виталик,3ф,1500,7300,,,,,,,
,Мойка,,Богдан,влажная уборка,500,,,,,,,,
,Мойка,,Богдан,пылесос,500,,,,,,,,
,Электрика,,Виталик,с\у приборной пранели,500,,,,,,,,
,Электрика,,Виталик,Перепайка приборной панели,4800,,,,,,,,
19.02.2026,Мойка,дастер,Богдан,техмойка,500,4300,,,,,,,
,Электрика,,Виталик,с\у бампера,1000,,ставил виталик,,,,,,
,Электрика,,Виталик,ремонт ручка клаксона,800,,,,,,,,
,Электрика,,Виталик,удаление краш даты,2000,,,,,,,,
,Электрика,,Виталик,дигностика дачтика воды в фильтре,0,,,,,,,,
21.02.2026,Электрика,MB GL,Виталик,замена замка багажника,1500,1500,,,,,,,
23.02.2026,Мойка,рх330,Виталик,техмойка,600,600,,,,,,,
,Электрика,,Виталик,люк стучит,0,,,,,,,,
23.02.2026,Мойка,w211,Виталик,техойка,500,6900,,,,,,,
,Электрика,,Виталик,с\у зад бампера,2000,,,,,,,,
,Электрика,,Виталик,дигностика парктроника,1000,,,,,,,,
,Электрика,,Виталик,ремонт парктроника,800,,,,,,,,
,Электрика,,Виталик,диагностика обогрева зданего стекла,1500,,,,,,,,
,Электрика,,Виталик,работа с гудком,800,,,,,,,,
,Электрика,,Виталик,чистка защелки ремня,300,,,,,,,,
23.02.2026,Электрика,дастер,Виталик,работа с поворотниками,0,0,,,,,,,
24.02.2026,Мойка,веста,Виталик,комплк базовый,2000,2000,,,,,,,
25.02.2026,Мойка,мазда 6,Савва,тех мойка,500,6500,,,,,,,
,Электрика,,Савва,работа с туманками и подкрылком,1000,,,,,,,,
,Электрика,,Савва,установа конутрной подсветки,4000,,,,,,,,
,Продажа,,Виталик,ремонт фары,1000,,,,,,,,
25.02.2026,Мойка,таун айс,Савва,3ф,2000,11925,,,,,,,
,Мойка,,Савва,чистка стекл,500,,,,,,,,
,Электрика,,Савва,дивгностика/ремонт клаксона,500,,,,,,,,
,Электрика,,Виталик,работа с задними фонорями,800,,,,,,,,
,Электрика,,Виталик,работа со светом в салоне,600,,,,,,,,
,Мойка,,Виталик,антидождь,3000,,,,,,,,
,Электрика,,Виталик,установка колонок,600,,,,,,,,
,Электрика,,Виталик,расходники,8425,,,,,,,,
26.02.2026,Мойка,фрилендер 2,Савва,техмойка,500,6500,,,,,,,
,Электрика,,Виталик,установка магнитолы,6000,,,,,,,,
27.02.2026,Электрика,лексус ,Виталик,эектрика,8000,8000,,,,,,,
02.03.2026,Мойка,опел,Савва,техмойка,500,5900,,,,,,,
,Электрика,,Савва,установка камеры заднего вида,1500,,,,,,,,
,Электрика,,Савва,установка и скрытое подключение зеркала ,1000,,,,,,,,
,Электрика,,Савва,борт комп,800,,,,,,,,
,Электрика,,Савва,туманки,800,,,,,,,,
,Электрика,,Савва,кнопка,600,,,,,,,,
,Электрика,,Савва,дмрв,200,,,,,,,,
,Электрика,,Савва,воздушые дефлекторы,500,,,,,,,,
02.03.2026,Электрика,форд,Виталик,моторчик,1500,1500,,,,,,,
03.03.2026,Мойка,Лансер 9,Савва,тех мойка ,500,3000,,,,,,,
,Электрика,,Виталик,электрика ,2500,,,,,,,,
03.03.2026,Мойка,королла,Савва,тех мойка,500,2500,,,,,,,
,Электрика,,Виталик,замена лампы стоп,300,,,,,,,,
,Электрика,,Савва,диагностика обогрева ,500,,,,,,,,
,Электрика,,Виталик,замена концевики копота,400,,,,,,,,
,Электрика,,Савва,диагностика абс,800,,,,,,,,
03.03.2026,Электрика,гранта,Виталик,диагностика,1300,1300,,,,,,,
04.03.2026,Электрика,круз,Виталик,диагностика,1500,1500,,,,,,,
04.03.2026,Электрика,гранта,Виталик,электрика ,3000,3000,,,,,,,
05.03.2026,Мойка,мазда 6 гг,Виталик,техмойка,500,3130,,,,,,,
,Электрика,,Виталик,ревизия контактной группы замка зажигания,800,,,,,,,,
,Электрика,,Виталик,чистка массы,400,,,,,,,,
,Электрика,,Виталик,"с\у бблока комфорта, чистка",800,,,,,,,,
,Электрика,,Виталик,пайка кик панели,300,,,,,,,,
,Электрика,,Виталик,лампа габарит,330,,,,,,,,
05.03.2026,Электрика,w166,Виталик,техиойка,800,5000,,,,,,,
,Электрика,,Савва,с/у баипер передний,1600,,,,,,,,
,Электрика,,Савва,"с\у, проверка заднйи SAM",3000,,,,,,,,
,Электрика,,Савва,проверка концентраторов CAN шины - 5шт,2500,,,,,,,,
06.03.2026,Электрика,лансер,Виталик,элнетрика,10500,12000,,,,,,,
,Электрика,,Савва,обогрев,1500,,,,,,,,
08.03.2026,Мойка,ягуар,Виталик,техмойка,600,42150,,,,,,,
,Электрика,,Виталик,дефлектор реонт,2000,,,,,,,,
,Электрика,,Савва,цз - диагностика ,2000,,,,,,,,
,Электрика,,Виталик,диагностика и ремонт платы поворотника,2200,,,,,,,,
,Продажа,,Виталик,сигнализация,20650,,,,,,,,
,Электрика,,Виталик,установка сигнализации,8000,,,,,,,,
,Электрика,,Виталик,обходчик,1000,,,,,,,,
,Электрика,,Виталик,с\у бампера,1800,,,,,,,,
,Электрика,,Виталик,с\у фары,500,,,,,,,,
,Электрика,,Виталик,разбор\сбор фары,3200,,,,,,,,
,Электрика,,Виталик,ремонт крепления фары,200,,,,,,,,
08.03.2026,Мойка,мазда сх5,Савва,мойка 2ф,1200,1200,,,,,,,
08.03.2026,Электрика,мазда 6,Савва,замена разьема,300,300,,,,,,,
,Мойка,,Савва,техмойка,300,,,,,,,,
09.03.2026,Электрика,гранта,Виталик,установка регистратора,1000,1000,,,,,,,
09.03.2026,Мойка,ягуар,Виталик,3ф+кварц,1000,4000,,,,,,,
,Мойка,,Виталик,антидождь,3000,,,,,,,,
10.03.2026,Мойка,ларгус,Виталик,техойка,500,11700,,,,,,,
,Электрика,,Виталик,ВВ провода,2000,,,,,,,,
,Электрика,,Виталик,катушка зажиигания,2000,,,,,,,,
,Электрика,,Виталик,проверка гбц,1000,,,,,,,,
,Электрика,,Виталик,замена катушки ,400,,,,,,,,
,Электрика,,Виталик,замена ВВ проводов,300,,,,,,,,
,Электрика,,Виталик,Диагностика,1500,,,,,,,,
,Электрика,,Виталик,датчик кислорода,3300,,,,,,,,
,Электрика,,Виталик,замена датчика ,700,,,,,,,,
10.03.2026,Электрика,экспресс,Виталик,ремонт проводки,3000,3000,,,,,,,
10.03.2026,Электрика,соболь,Виталик,диагностика стартера,600,600,,,,,,,
11.03.2026,Электрика,гранта,Виталик,техойка,500,6500,,,,,,,
,Электрика,,Савва,ремонт электрики,1200,,,,,,,,
,Электрика,,Виталик,диагностика,4800,,,,,,,,
11.03.2026,Мойка,королла,Богдан,коплекс базовый,3000,3000,,,,,,,
11.03.2026,Электрика,2106,Виталик,реонт электрики,1200,1200,,,,,,,
12.03.2026,Электрика,лексус,Савва,техойка,500,1000,,,,,,,
,Электрика,,Виталик,диагностика обогрева,500,,,,,,,,
12.03.2026,Электрика,ховер,Виталик,разьем 4 пин,500,9800,,,,,,,
,Электрика,,Виталик,изолетна термоусадка,1000,,,,,,,,
,Электрика,,Виталик,ремонт косы мотора,2000,,,,,,,,
,Электрика,,Виталик,коса генератор,800,,,,,,,,
,Электрика,,Виталик,мойка радиатора,500,,,,,,,,
,Электрика,,Савва,укладка проводов под капотом ,2000,,.+виталик,,,,,,
,Мойка,,Виталик,техмойка ,500,,,,,,,,
,Мойка,,Виталик,мойка подкапотного пространства,2500,,,,,,,,
12.03.2026,Мойка,гольф,Савва,теехммойка,500,8200,,,,,,,
,Электрика,,Савва,ремонт разъема концевика копота,400,,,,,,,,
,Электрика,,Савва,чистка силовых клемм(предохранителей),800,,,,,,,,
